meanBER_nc,meanPER_nc,SNRpercomm_nc,meanAWGN_POWER_nc,meanUP_LOSS_nc,meanDOWN_LOSS_nc,meanTEMPERATURE_nc,meanWV_DENSITY_nc,meanUP_THERMAL_POWER_nc,meanDW_THERMAL_POWER_nc
0.024485,0.66667,6.2715,9.3606e+05,42.799,42.805,288,0.0064019,3.5888e-11,2.9894e-11
0,0,13.001,1.3866e+05,43.987,43.472,283.57,0.0049344,3.0867e-11,2.9038e-11
0.0064433,1,9.0641,7.035e+05,43.013,42.671,288.07,0.010362,2.9189e-11,2.8422e-11
0.0064433,0.66667,9.0307,7.4329e+05,43.066,40.698,292.25,0.0036505,3.4138e-11,2.8554e-11
0.003866,0.66667,9.4981,3.6722e+05,43.457,42.954,286.42,0.0084078,3.151e-11,3.4473e-11
0.007732,0.33333,8.4461,4.6176e+05,42.055,44.132,287.04,0.010347,2.7661e-11,3.0116e-11
0,0,11.027,1.056e+06,41.245,40.287,297.97,0.011553,2.8947e-11,2.9413e-11
0,0,9.1519,6.7342e+05,42.579,41.32,291.86,0.0083989,2.7252e-11,3.3256e-11
0.014175,0.66667,8.1286,9.2962e+05,42.061,41.152,293.86,0.012511,3.2584e-11,2.6876e-11
0,0,23.988,15274,41.913,43.678,288.1,0.0083683,3.6439e-11,2.6477e-11
0,0,24.164,18416,43.477,41.817,288.68,0.0065905,2.8264e-11,3.1697e-11
0,0,14.359,2.181e+05,41.218,42.155,293.41,0.0087568,3.231e-11,2.8704e-11
0,0,10.949,3.0113e+05,42.124,43.186,288.75,0.0071933,3.3889e-11,3.5076e-11
0,0,19.533,66705,42.125,41.292,293.24,0.011774,3.1761e-11,2.9493e-11
0.021907,1,7.3976,1.4839e+06,42.79,40.531,293.49,0.0085839,3.4735e-11,2.9073e-11
0,0,23.056,28994,42.556,41.573,291.36,0.0085788,3.3549e-11,2.8704e-11
0,0,15.421,1.3504e+05,39.99,44.907,289.92,0.0083931,2.8464e-11,2.5727e-11
0,0,16.264,1.7088e+05,42.037,41.899,291.96,0.008142,2.5987e-11,2.5267e-11
0,0,12.432,2.2902e+05,43.82,41.887,287.55,0.0044701,2.6792e-11,3.1131e-11
0.0025773,0.66667,10.243,3.391e+05,42.645,43.223,287.35,0.0080588,3.1342e-11,2.3993e-11
0,0,18.913,67529,44.424,40.65,289.58,0.010084,3.0198e-11,2.8206e-11
0.023196,0.66667,6.8432,3.7786e+05,44.807,43.696,281.25,0.0027556,3.2524e-11,4.0599e-11
0,0,11.214,8.0733e+05,40.936,40.427,298.04,0.01017,3.1447e-11,3.0512e-11
0,0,16.787,59702,44.174,42.329,286.03,0.0075336,3.0151e-11,3.0171e-11
0,0,10.677,3.136e+05,42.454,44.338,285.34,0.0048349,2.5504e-11,2.5871e-11
0.018041,0.66667,7.731,8.7944e+05,44.78,40.809,288.41,0.0068301,3.4342e-11,2.7929e-11
0,0,17.571,55928,45.147,41.856,285.09,0.0057312,3.0166e-11,3.3151e-11
0,0,23.413,30864,42.082,41.721,292.63,0.0088887,3.3338e-11,2.7362e-11
0.0051546,0.66667,9.6866,5.7698e+05,42.106,42.151,291.06,0.0094802,2.9435e-11,3.0543e-11
0,0,19.27,71821,42.466,42.538,289.39,0.0054478,3.6732e-11,3.064e-11
0.0025773,0.33333,9.3807,5.2018e+05,41.5,43.332,289.63,0.0074978,3.4186e-11,2.8429e-11
0.0051546,0.33333,9.0915,8.9507e+05,40.34,43.082,293.17,0.0048171,3.262e-11,3.4465e-11
0,0,13.859,2.3414e+05,42.206,41.226,293.13,0.0068362,2.9496e-11,2.9834e-11
0.012887,0.66667,8.317,7.9284e+05,42.455,42.971,288.56,0.0084507,3.2245e-11,2.6812e-11
0.0012887,0.33333,10.284,4.1353e+05,41.95,43.363,288.9,0.0074046,3.2399e-11,3.3336e-11
0,0,24.377,27537,42.94,39.436,295.78,0.0088375,2.9651e-11,3.2944e-11
0,0,24.97,28502,42.138,39.888,296.83,0.0094191,3.3284e-11,2.7333e-11
0,0,12.373,1.0605e+05,44.003,44.763,280.52,0.0038923,3.1896e-11,2.7973e-11
0,0,24.439,30981,41.407,41.42,294.51,0.0062179,3.1804e-11,3.308e-11
0.0051546,0.66667,8.6008,7.181e+05,40.607,43.539,291.33,0.0070245,2.7192e-11,3.3148e-11
0.015464,0.66667,7.8067,7.1474e+05,43.468,43.029,285.94,0.0062791,2.9752e-11,3.6946e-11
0,0,16.445,74728,44.15,42.845,285.1,0.0058943,3.1898e-11,2.6493e-11
0,0,10.522,3.0869e+05,44.334,41.84,286.79,0.0057379,3.377e-11,2.6764e-11
0,0,16.803,1.5489e+05,39.818,43.214,294.35,0.011151,3.0322e-11,3.0528e-11
0,0,15.235,1.4401e+05,42.146,42.356,290.55,0.0080274,2.6337e-11,3.6199e-11
0.018041,0.66667,7.828,1.1765e+06,40.449,43.876,291.39,0.0085513,3.7972e-11,2.8427e-11
0,0,23.536,21926,42.34,42.29,290.16,0.0081706,3.1946e-11,2.8905e-11
0.052835,0.66667,6.2973,2.1546e+06,39.635,42.541,296.36,0.011437,3.2682e-11,2.713e-11
0.0025773,0.66667,10.529,2.479e+05,45.65,41.329,285.05,0.0091233,3.5573e-11,2.4866e-11
0,0,14.247,2.0193e+05,41.737,42.376,291.4,0.0017276,3.0972e-11,3.3203e-11
0.052835,0.66667,5.5804,9.8233e+05,43.467,42.261,287.56,0.0074824,3.072e-11,2.5223e-11
0,0,17.565,85917,42.528,41.717,291.45,0.0074099,4.3241e-11,2.7709e-11
0,0,19.697,60526,41.947,43.064,289.33,0.0074858,3.1897e-11,2.8063e-11
0,0,13.739,4.1469e+05,41.123,42.123,293.59,0.0052169,3.0613e-11,2.8932e-11
0.0025773,0.33333,9.7193,1.9241e+05,45.147,44.023,279.78,0.0041893,3.7404e-11,3.5856e-11
0,0,19.423,27310,44.253,43.514,282.96,0.0024554,3.648e-11,3.6147e-11
0,0,23.162,39771,41.807,41.08,294.53,0.010612,2.7909e-11,2.9768e-11
0,0,12.646,2.114e+05,43.376,42.699,286.84,0.0053234,3.3118e-11,2.4463e-11
0,0,15.121,66576,45.5,42.271,282.85,0.00405,3.0213e-11,3.3679e-11
0,0,20.89,50407,41.987,43.172,289.09,0.0042927,2.8389e-11,3.3605e-11
0,0,13.282,2.3149e+05,41.728,42.516,291.36,0.006528,2.4269e-11,3.7817e-11
0.037371,0.66667,6.2921,1.1419e+06,42.952,41.411,290.88,0.006089,3.2305e-11,2.9938e-11
0.003866,1,8.1419,2.6635e+05,45.98,42.838,280.53,0.0045556,3.2655e-11,2.5814e-11
0.046392,0.66667,6.1325,3.4422e+05,44.955,44.694,278.7,0.0033667,3.4513e-11,2.8019e-11
0,0,23.411,35711,41.275,40.933,295.9,0.0078521,3.8321e-11,2.5044e-11
0,0,13.479,4.1454e+05,42.443,39.317,297.27,0.0083518,3.1296e-11,2.6636e-11
0,0,12.686,90927,44.148,44.73,280.37,0.0035605,3.8721e-11,3.8832e-11
0,0,24.23,17469,40.847,43.888,289.97,0.0073443,3.3538e-11,3.2535e-11
0,0,18.455,61976,41.811,43.636,288.28,0.003315,2.946e-11,2.3878e-11
0,0,16.279,1.0221e+05,43.138,42.207,288.57,0.0078491,3.0562e-11,2.7875e-11
0,0,16.385,1.6511e+05,42.481,41.287,292.41,0.0075152,2.9559e-11,2.6037e-11
0,0,18.419,1.0901e+05,42.987,40.695,292.68,0.0049602,3.4208e-11,2.8045e-11
0,0,13.946,2.3857e+05,44.695,41.353,287.27,0.0051651,2.8777e-11,3.4943e-11
0.023196,0.66667,6.7143,6.0773e+05,44.623,43.298,282.65,0.0055045,4.3279e-11,2.7779e-11
0,0,23.213,19944,42.341,42.483,289.94,0.0033706,2.9391e-11,2.9083e-11
0,0,12.855,2.0597e+05,44.682,41.321,287.15,0.0076701,3.1486e-11,3.1279e-11
0,0,14.483,2.0945e+05,40.916,43.65,290.57,0.0094338,3.0519e-11,3.0424e-11
0.01933,0.66667,7.6659,9.4658e+05,41.778,43.268,289.33,0.0090859,2.9406e-11,3.0703e-11
0,0,12.95,5.3555e+05,40.391,41.177,297.72,0.013608,3.1848e-11,2.5402e-11
0.007732,0.66667,9.047,4.6886e+05,42.613,42.666,288.43,0.0067381,3.6209e-11,2.877e-11
0.003866,0.66667,9.2164,1.2673e+06,40.85,40.316,298.47,0.0099204,3.5508e-11,2.9786e-11
0,0,24.927,14536,43.243,41.922,288.96,0.0045191,3.1005e-11,2.8539e-11
0.0025773,0.33333,9.7758,9.9108e+05,41.305,40.407,297.21,0.0092559,3.1946e-11,3.337e-11
0.007732,0.66667,7.7309,4.6161e+05,43.241,43.731,284.69,0.0060152,2.9611e-11,3.1218e-11
0,0,11.046,6.6349e+05,42.448,40.162,295.14,0.010691,4.2624e-11,2.9394e-11
0.059278,0.66667,5.1929,1.5679e+06,43.097,43.552,285.67,0.0050228,3.2171e-11,2.5808e-11
0,0,19.325,97611,40.259,41.945,296.32,0.013869,2.9892e-11,2.6812e-11
0.020619,0.66667,6.8929,7.1546e+05,41.882,43.735,287.76,0.0093612,3.2613e-11,2.5367e-11
0.052835,0.66667,5.6127,2.9882e+06,40.706,40.62,298.1,0.0092597,3.1317e-11,2.9704e-11
0,0,14.11,1.1028e+05,42.459,43.993,286.09,0.0067336,3.8177e-11,3.2684e-11
0,0,12.838,59873,45.504,44.908,276.85,0.0022845,3.2883e-11,2.7696e-11
0,0,21.092,23153,43.458,43.394,285.05,0.0056182,2.9828e-11,2.7259e-11
0,0,23.067,30591,42.872,40.999,292.25,0.014136,3.2602e-11,2.8849e-11
0.08634,1,5.2267,1.6316e+06,42.535,43.01,288.2,0.0055241,3.1075e-11,3.3673e-11
0,0,20.856,45740,41.105,42.444,293.17,0.0078558,3.6033e-11,3.2125e-11
0,0,19.565,80851,40.61,42.679,293.45,0.0062134,3.6178e-11,3.1709e-11
0,0,20.327,34347,44.762,40.757,288.22,0.0068096,3.3973e-11,2.7389e-11
0.030928,0.66667,5.8166,1.7864e+06,41.641,41.022,294.79,0.011344,3.5424e-11,2.9435e-11
0,0,12.59,3.1288e+05,41.702,42.467,291.19,0.0061713,2.9234e-11,2.9648e-11
0.0051546,0.66667,9.0654,9.4708e+05,42.035,42.314,291.04,0.0052522,3.3264e-11,2.5682e-11
0.003866,0.33333,9.0643,9.4215e+05,42.8,43.015,287.81,0.0061823,3.7178e-11,3.1185e-11
0,0,23.729,18099,41.438,43.704,288.99,0.0061172,3.105e-11,3.4865e-11
0,0,21.336,35705,43.302,42.315,288.07,0.0097475,2.954e-11,2.9445e-11
0,0,11.327,5.3391e+05,41.528,42.572,291.66,0.009045,3.2671e-11,2.7845e-11
0,0,14.623,1.8366e+05,43.743,40.351,291.74,0.011824,3.6824e-11,3.2457e-11
0,0,15.637,1.7947e+05,41.341,42.071,293.01,0.0059519,3.0417e-11,2.4917e-11
0,0,11.004,5.0493e+05,43.319,42.164,288.47,0.008166,2.71e-11,2.8896e-11
0,0,13.513,1.439e+05,44.588,42.311,284.94,0.0052195,3.412e-11,3.0109e-11
0,0,15.667,86568,43.798,42.657,285.95,0.0082155,2.7604e-11,2.7511e-11
0.015464,0.66667,7.6808,1.6128e+06,42.201,41.271,293.24,0.007061,2.4087e-11,3.2649e-11
0,0,23.954,26930,42.687,41.022,292.47,0.0098534,4.1529e-11,3.3539e-11
0.055412,0.66667,5.4779,1.2484e+06,42.909,42.797,287.63,0.0042443,3.3432e-11,3.1138e-11
0.0012887,0.33333,10.115,8.7338e+05,39.671,42.02,297.44,0.014724,3.3632e-11,4.2614e-11
0,0,14.581,2.2123e+05,42.203,41.109,293.39,0.0098464,3.3897e-11,2.8531e-11
0,0,12.664,3.9984e+05,41.697,41.458,293.83,0.010129,3.32e-11,2.2081e-11
0,0,20.54,68806,41.222,42.505,292.58,0.010016,3.3653e-11,2.7141e-11
0,0,21.75,15441,46.167,42.688,280.79,0.0037912,3.6568e-11,2.9323e-11
0,0,11.671,3.7744e+05,42.557,41.428,291.73,0.0069041,3.5796e-11,3.1266e-11
0,0,15.436,2.0761e+05,41.787,41.633,293.14,0.008561,3.2289e-11,3.3018e-11
0,0,18.033,1.3121e+05,42.568,40.042,295.28,0.011367,3.4166e-11,3.2789e-11
0,0,23.578,24345,43.215,41.761,289.42,0.0063838,3.1027e-11,2.4187e-11
0.042526,1,5.6968,2.3087e+06,42.492,41.203,292.53,0.0069358,3.3487e-11,3.3167e-11
0,0,13.881,1.1754e+05,43.593,42.999,285.64,0.0090979,3.5712e-11,3.2688e-11
0,0,14.147,1.8269e+05,44.042,40.807,289.76,0.004929,3.3828e-11,3.9296e-11
0,0,15.547,59393,44.35,44.038,281.68,0.0027378,2.7841e-11,2.6235e-11
0,0,16.097,1.1743e+05,43.488,41.016,290.6,0.010155,3.7387e-11,2.7792e-11
0,0,20.065,48183,41.342,43.364,289.94,0.0058152,3.5498e-11,3.3848e-11
0.074742,1,5.2379,2.0861e+06,43.907,39.412,293.7,0.011968,3.0622e-11,3.0047e-11
0.048969,0.66667,6.1406,5.3971e+05,43.116,44.474,283.35,0.0047937,2.5871e-11,2.4923e-11
0,0,24.291,10381,42.447,44.497,284.75,0.0045981,3.693e-11,2.8193e-11
0,0,13.139,2.7921e+05,42.31,42.102,290.77,0.0044353,3.0136e-11,2.9469e-11
0.014175,1,7.1624,1.7507e+06,42.448,40.879,293.45,0.0099055,3.5671e-11,2.686e-11
0,0,10.607,4.0293e+05,45.349,39.178,291.14,0.01022,3.4263e-11,2.9963e-11
0,0,13.058,3.9716e+05,40.465,42.421,294.4,0.0089212,3.757e-11,2.779e-11
0,0,19.521,33124,42.738,43.52,286.27,0.0048342,4.1017e-11,4.0725e-11
0,0,14.797,85717,44.301,42.701,284.69,0.0063431,3.6111e-11,3.2071e-11
0.016753,0.66667,7.8053,1.6299e+06,43.062,39.235,296.17,0.0079705,3.2104e-11,3.2963e-11
0,0,13.189,2.0802e+05,42.704,42.15,289.78,0.0045666,2.8872e-11,3.862e-11
0.024485,0.66667,7.1536,1.6439e+06,41.394,41.405,294.55,0.0057989,3.7479e-11,3.0792e-11
